Comment,Description,Designator,Footprint,LibRef,Pins,Quantity,对比结果,匹配类型,元件名称,封装规格,元件数量,未匹配原因,
DC5V,,B1,BEEP6.5x12x8.5,,2,1,不能做,,,,,元件封装不匹配,
10uF,,E1,CDS(2012),,2,1,不能做,,,,,元件封装不匹配,
220uf,,"E2,E3,E4",CME(8*10.2),,2,3,不能做,,,,,元件封装不匹配,
15uH,,L1,CDRH73,,2,1,不能做,,,,,元件封装不匹配,
0R5,,"R17,R18,R28",RS3W-V7,,2,3,不能做,,,,,元件封装不匹配,
HR911105A,,RJ1,RJ-45A12,,13,1,不能做,,,,,元件封装不匹配,
TESTTP,,"TP2,TP3,TP5,TP6,TP9,TP10,TP12,TP13,TP15",TESTTP1.4_BK,,1,9,不能做,,,,,元件封装不匹配,
USR-WIFI232-A/B/D,,U2,USR-WIFI232-A/B/D,,15,1,不能做,,,,,元件封装不匹配,
WS2812,,U4,WS2812,,4,1,不能做,,,,,元件封装不匹配,
L6201PS,电机驱动H桥,"U5,U6,U8",SO_POWERSO20,L6201PS,21,3,不能做,,,,,元件封装不匹配,
TLP281-4,,U7,SOP16_n,,16,1,不能做,,,,,元件封装不匹配,
26M,,X1,XTAL-3225,,4,1,不能做,,,,,元件位号暂不支持,
